Year,StartDate,EndDate,Product,Overall Range Min,Overall Range Max,Common Price
2023,2023-10-12,2023-10-18,Gasoline (RON97/100),58.7,84.9,71.9
2023,2023-10-12,2023-10-18,Gasoline (RON95),57.7,78.5,66.25
2023,2023-10-12,2023-10-18,Gasoline (RON91),57.1,74.3,62.1
2023,2023-10-12,2023-10-18,Diesel,58.85,71.7,66.4
2023,2023-10-12,2023-10-18,Diesel Plus,66.25,84.85,68.5
2023,2023-10-12,2023-10-18,Kerosene,76.75,89.09,78.36
2023,2023-10-26,2023-11-01,Gasoline (RON97/100),60.7,86.4,73.4
2023,2023-10-26,2023-11-01,Gasoline (RON95),58.35,76.8,65.55
2023,2023-10-26,2023-11-01,Gasoline (RON91),57.65,75.8,63.6
2023,2023-10-26,2023-11-01,Diesel,59.0,72.05,67.65
2023,2023-10-26,2023-11-01,Diesel Plus,65.2,85.2,69.75
2023,2023-10-26,2023-11-01,Kerosene,76.25,89.39,78.66
2023,2023-09-07,2023-09-13,Gasoline (RON97/100),63.25,87.95,80.86
2023,2023-09-07,2023-09-13,Gasoline (RON95),61.0,81.85,67.8
2023,2023-09-07,2023-09-13,Gasoline (RON91),60.0,80.85,68.1
2023,2023-09-07,2023-09-13,Diesel,59.65,74.1,64.35
2023,2023-09-07,2023-09-13,Diesel Plus,66.35,84.2,76.4
2023,2023-09-07,2023-09-13,Kerosene,78.55,91.09,80.16
2023,2023-09-14,2023-09-20,Gasoline (RON97/100),63.25,88.15,75.15
2023,2023-09-14,2023-09-20,Gasoline (RON95),61.0,81.75,71.15
2023,2023-09-14,2023-09-20,Gasoline (RON91),60.0,77.55,65.5
2023,2023-09-14,2023-09-20,Diesel,60.0,71.54,64.75
2023,2023-09-14,2023-09-20,Diesel Plus,66.75,84.6,75.7
2023,2023-09-14,2023-09-20,Kerosene,78.75,91.09,80.36
2023,2023-09-28,2023-10-04,Gasoline (RON97/100),65.05,89.95,76.95
2023,2023-09-28,2023-10-04,Gasoline (RON95),63.05,83.55,70.1
2023,2023-09-28,2023-10-04,Gasoline (RON91),62.3,79.35,67.3
2023,2023-09-28,2023-10-04,Diesel,62.6,73.75,68.45
2023,2023-09-28,2023-10-04,Diesel Plus,69.05,86.92,70.45
2023,2023-09-28,2023-10-04,Kerosene,80.25,92.59,82.63
