Year,Month,For Lifeline Customers,kWh Consumption,Total Bill
2013,12,FALSE,300,11.4155
2013,12,FALSE,400,11.7717
2013,12,FALSE,500,12.4188
2013,12,FALSE,600,12.4094
2013,12,FALSE,700,12.4099
2013,12,FALSE,800,12.4165
2013,12,FALSE,900,12.4216
2013,12,FALSE,1000,12.4258
2013,12,FALSE,1500,12.4714
2013,12,FALSE,3000,12.5921
2013,12,FALSE,5000,12.6404
2014,1,TRUE,50,5.7947
2014,1,TRUE,70,7.3686
2014,1,TRUE,100,8.9265
2014,1,FALSE,200,11.0998
2014,1,FALSE,300,11.4553
2014,1,FALSE,400,11.8115
2014,1,FALSE,500,12.4586
2014,1,FALSE,600,12.4492
2014,1,FALSE,700,12.4497
2014,1,FALSE,800,12.4563
2014,1,FALSE,900,12.4614
2014,1,FALSE,1000,12.4656
2014,1,FALSE,1500,12.5112
2014,1,FALSE,3000,12.6319
2014,1,FALSE,5000,12.6802
2014,2,TRUE,50,5.7723
2014,2,TRUE,70,7.3244
2014,2,TRUE,100,8.8605
2014,2,FALSE,200,11.0447
2014,2,FALSE,300,11.4002
2014,2,FALSE,400,11.7564
2014,2,FALSE,500,12.4035
2014,2,FALSE,600,12.3941
2014,2,FALSE,700,12.3946
2014,2,FALSE,800,12.4012
2014,2,FALSE,900,12.4063
2014,2,FALSE,1000,12.4105
2014,2,FALSE,1500,12.4561
2014,2,FALSE,3000,12.5768
2014,2,FALSE,5000,12.6251
2014,3,TRUE,50,5.5057
2014,3,TRUE,70,7.0019
2014,3,TRUE,100,8.4821
2014,3,FALSE,200,10.598
2014,3,FALSE,300,10.9535
2014,3,FALSE,400,11.3097
2014,3,FALSE,500,11.9568
2014,3,FALSE,600,11.9474
2014,3,FALSE,700,11.9479
2014,3,FALSE,800,11.9545
2014,3,FALSE,900,11.9596
2014,3,FALSE,1000,11.9638
2014,3,FALSE,1500,12.0094
2014,3,FALSE,3000,12.1301
2014,3,FALSE,5000,12.1784
2014,4,TRUE,50,5.9567
2014,4,TRUE,70,7.585
2014,4,TRUE,100,9.1973
2014,4,FALSE,200,11.4925
2014,4,FALSE,300,11.848
2014,4,FALSE,400,12.2043
2014,4,FALSE,500,12.8513
2014,4,FALSE,600,12.842
2014,4,FALSE,700,12.8425
2014,4,FALSE,800,12.8491
2014,4,FALSE,900,12.8542
2014,4,FALSE,1000,12.8583
2014,4,FALSE,1500,12.904
2014,4,FALSE,3000,13.0246
2014,4,FALSE,5000,13.0729
2014,5,TRUE,50,5.9716
2014,5,TRUE,70,7.5955
2014,5,TRUE,100,9.2035
2014,5,FALSE,200,11.4448
2014,5,FALSE,300,11.8003
2014,5,FALSE,400,12.1565
2014,5,FALSE,500,12.8036
2014,5,FALSE,600,12.7942
2014,5,FALSE,700,12.7947
2014,5,FALSE,800,12.8013
2014,5,FALSE,900,12.8064
2014,5,FALSE,1000,12.8106
2014,5,FALSE,1500,12.8562
